CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Female,21,15,81
3,Male,20,16,6
4,Female,23,16,77
5,Male,31,17,40
6,Female,22,17,76
7,Male,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,19,15,39
12,Female,21,15,81
13,Male,20,16,6
14,Female,23,16,77
15,Male,31,17,40
16,Female,22,17,76
17,Male,35,18,6
18,Female,23,18,94
19,Male,64,19,3
20,Female,30,19,72
21,Male,19,15,39
22,Female,21,15,81
23,Male,20,16,6
24,Female,23,16,77
25,Male,31,17,40
26,Female,22,17,76
27,Male,35,18,6
28,Female,23,18,94
29,Male,64,19,3
30,Female,30,19,72
31,Male,19,15,39
32,Female,21,15,81
33,Male,20,16,6
34,Female,23,16,77
35,Male,31,17,40
36,Female,22,17,76
37,Male,35,18,6
38,Female,23,18,94
39,Male,64,19,3
40,Female,30,19,72
41,Male,19,15,39
42,Female,21,15,81
43,Male,20,16,6
44,Female,23,16,77
45,Male,31,17,40
46,Female,22,17,76
47,Male,35,18,6
48,Female,23,18,94
49,Male,64,19,3
50,Female,30,19,72
51,Male,19,15,39
52,Female,21,15,81
53,Male,20,16,6
54,Female,23,16,77
55,Male,31,17,40
56,Female,22,17,76
57,Male,35,18,6
58,Female,23,18,94
59,Male,64,19,3
60,Female,30,19,72
61,Male,19,15,39
62,Female,21,15,81
63,Male,20,16,6
64,Female,23,16,77
65,Male,31,17,40
66,Female,22,17,76
67,Male,35,18,6
68,Female,23,18,94
69,Male,64,19,3
70,Female,30,19,72
71,Male,19,15,39
72,Female,21,15,81
73,Male,20,16,6
74,Female,23,16,77
75,Male,31,17,40
76,Female,22,17,76
77,Male,35,18,6
78,Female,23,18,94
79,Male,64,19,3
80,Female,30,19,72
81,Male,19,15,39
82,Female,21,15,81
83,Male,20,16,6
84,Female,23,16,77
85,Male,31,17,40
86,Female,22,17,76
87,Male,35,18,6
88,Female,23,18,94
89,Male,64,19,3
90,Female,30,19,72
91,Male,19,15,39
92,Female,21,15,81
93,Male,20,16,6
94,Female,23,16,77
95,Male,31,17,40
96,Female,22,17,76
97,Male,35,18,6
98,Female,23,18,94
99,Male,64,19,3
100,Female,30,19,72
101,Male,19,15,39
102,Female,21,15,81
103,Male,20,16,6
104,Female,23,16,77
105,Male,31,17,40
106,Female,22,17,76
107,Male,35,18,6
108,Female,23,18,94
109,Male,64,19,3
110,Female,30,19,72
111,Male,19,15,39
112,Female,21,15,81
113,Male,20,16,6
114,Female,23,16,77
115,Male,31,17,40
116,Female,22,17,76
117,Male,35,18,6
118,Female,23,18,94
119,Male,64,19,3
120,Female,30,19,72
121,Male,19,15,39
122,Female,21,15,81
123,Male,20,16,6
124,Female,23,16,77
125,Male,31,17,40
126,Female,22,17,76
127,Male,35,18,6
128,Female,23,18,94
129,Male,64,19,3
130,Female,30,19,72
131,Male,19,15,39
132,Female,21,15,81
133,Male,20,16,6
134,Female,23,16,77
135,Male,31,17,40
136,Female,22,17,76
137,Male,35,18,6
138,Female,23,18,94
139,Male,64,19,3
140,Female,30,19,72
141,Male,19,15,39
142,Female,21,15,81
143,Male,20,16,6
144,Female,23,16,77
145,Male,31,17,40
146,Female,22,17,76
147,Male,35,18,6
148,Female,23,18,94
149,Male,64,19,3
150,Female,30,19,72
151,Male,19,15,39
152,Female,21,15,81
153,Male,20,16,6
154,Female,23,16,77
155,Male,31,17,40
156,Female,22,17,76
157,Male,35,18,6
158,Female,23,18,94
159,Male,64,19,3
160,Female,30,19,72
161,Male,19,15,39
162,Female,21,15,81
163,Male,20,16,6
164,Female,23,16,77
165,Male,31,17,40
166,Female,22,17,76
167,Male,35,18,6
168,Female,23,18,94
169,Male,64,19,3
170,Female,30,19,72
171,Male,19,15,39
172,Female,21,15,81
173,Male,20,16,6
174,Female,23,16,77
175,Male,31,17,40
176,Female,22,17,76
177,Male,35,18,6
178,Female,23,18,94
179,Male,64,19,3
180,Female,30,19,72
181,Male,19,15,39
182,Female,21,15,81
183,Male,20,16,6
184,Female,23,16,77
185,Male,31,17,40
186,Female,22,17,76
187,Male,35,18,6
188,Female,23,18,94
189,Male,64,19,3
190,Female,30,19,72
191,Male,19,15,39
192,Female,21,15,81
193,Male,20,16,6
194,Female,23,16,77
195,Male,31,17,40
196,Female,22,17,76
197,Male,35,18,6
198,Female,23,18,94
199,Male,64,19,3
200,Female,30,19,72
